Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Number of oviposition sites,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Strength of territoriality (strong vs weak),Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition substrate,Habitat breadth,Agonistic display,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Male wing pigment,Female wing pigment,Sexual wing dichromatism,Male or female biased sexual wing dichromatism,Male dark score,Female dark score,Mean annual temperature,Female has wing pigment (waller 2019),Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source males,Original source females,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Aeshna cyanea,Aeshna_cyanea,Aeshna_cyanea,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koenig 1990,,,,,,,,,,,,,,,
Aeshna grandis,Aeshna_grandis,Aeshna_grandis,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Johansson et al., 2005)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Anaciaeschna isoceles,Anaciaeschna_isoceles,Anaciaeschna_isoceles,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Anotogaster sieboldii,Anotogaster_sieboldii,Anotogaster_sieboldii,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Arai, 1985)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Archineura incarnata,Archineura_incarnata,Archineura_incarnata,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Argia apicalis,Argia_apicalis,Argia_apicalis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bick 1972,,,,,,,,,,,,,,,
Atrocalopteryx atrata,Atrocalopteryx_atrata,Atrocalopteryx_atrata,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Boyeria irene,Boyeria_irene,Boyeria_irene,Anisoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Ocharán, 1987)",,,,,,,,,,,,,
Brachytron pratense,Brachytron_pratense,Brachytron_pratense,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK","(Ocharán, 1987)",,,,,,,,,,,,
Calopteryx aequabilis,Calopteryx_aequabilis,Calopteryx_aequabilis,Zygoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
