Species,Formatted_species,Territorial,Oviposition type (endophytic vs exophytic),Flier vs percher,Mate guarding,Abundance,Oviposition,Temporary vs permanent oviposition site,"Description of lentic oviposition (lake, pond, ditch, pool, puddle)",Lentic size,"Description of lotic oviposition (river, stream)",Lotic vs lentic (breeding habitat),Courtship,Redlist category,Strength of territoriality (strong vs weak),Reference,Original source,Original source #2,Original source #3,Original source #4
Aeshna cyanea,Aeshna_cyanea,Yes,,,,,,,,,,,,,,Koenig 1990,,,,
Aeshna grandis,Aeshna_grandis,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Johansson et al., 2005)","Natural History Museum, Odonata collection, UK",,
Anaciaeschna isoceles,Anaciaeschna_isoceles,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK",,
Anotogaster sieboldii,Anotogaster_sieboldii,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Arai, 1985)","Natural History Museum, Odonata collection, UK",,
Archineura incarnata,Archineura_incarnata,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Argia apicalis,Argia_apicalis,Yes,,,,,,,,,,,,,,Bick 1972,,,,
Atrocalopteryx atrata,Atrocalopteryx_atrata,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Boyeria irene,Boyeria_irene,No,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Ocharán, 1987)",,
Brachytron pratense,Brachytron_pratense,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Brooks & Lewington, 2004)","Natural History Museum, Odonata collection, UK","(Ocharán, 1987)",
Calopteryx aequabilis,Calopteryx_aequabilis,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,
Calopteryx amata,Calopteryx_amata,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Calopteryx cornelia,Calopteryx_cornelia,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Corbet, 1999)","Natural History Museum, Odonata collection, UK",,
Calopteryx haemorrhoidalis,Calopteryx_haemorrhoidalis,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Córdoba-Aguilar, 2002)","Natural History Museum, Odonata collection, UK",,
Calopteryx japonica,Calopteryx_japonica,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Watanabe et al., 1998)",,
Calopteryx maculata,Calopteryx_maculata,Yes,,,,,,,,,,,,,,Fitzstephen and Getty 2000,,,,
Calopteryx maculata,Calopteryx_maculata,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Sokolovska et al., 2000)",,
Calopteryx splendens,Calopteryx_splendens,Yes,,,,,,,,,,,,,,Fitzstephen and Getty 2001,,,,
Calopteryx splendens,Calopteryx_splendens,Yes,,,,,,,,,,,Yes,,,"Golab et al, 2013",,,,
Calopteryx splendens,Calopteryx_splendens,Yes,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Natural History Museum, Odonata collection, UK","(Tynkkynen et al., 2006)",,
